City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Pilar,BR,73.33,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
427,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
428,Kavaratti,IN,79.3,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
430,Waingapu,ID,85.84,clear sky,-9.6567,120.2641,Pondok Wisata Elim
433,Dingle,PH,88.66,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
436,Santa Catalina,PH,85.98,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
440,Maues,BR,73.92,overcast clouds,-3.3836,-57.7186,Hotel Miramar
441,Bolitoc,PH,86.92,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
442,Kendari,ID,85.57,broken clouds,-3.945,122.4989,Hotel Wixel
444,Alta Floresta,BR,74.61,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
447,Poso,ID,86.7,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
449,Tilaran,CR,74.32,overcast clouds,10.4703,-84.9671,Hotel Cielo Azul Resort
453,Buala,SB,82.58,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
454,Padang,ID,87.85,few clouds,-0.9492,100.3543,Mercure Padang
455,Laplace,US,82.38,clear sky,30.0666,-90.4801,Hampton Inn Laplace
458,Marshall,US,73.38,light rain,34.3834,-86.3333,Riverview Campground
459,Trairi,BR,77.74,broken clouds,-3.2778,-39.2689,janelas do mar
460,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
461,Antalaha,MG,76.77,clear sky,-14.9003,50.2788,Hotel Vitasoa
465,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
469,Boyolangu,ID,87.06,overcast clouds,-8.1181,111.8935,Yos ega cv
470,Lashio,MM,81.86,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
476,Barao De Melgaco,BR,73.74,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
477,Bangkal,PH,79.2,overcast clouds,6.0667,121.0667,JB's Resort
479,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
486,San Angelo,US,82.89,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
503,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
510,Champerico,GT,84.25,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
514,Vao,NC,73.89,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
515,Shouguang,CN,77.65,clear sky,36.88,118.7375,Communications Hotel
517,Gizo,SB,83.26,scattered clouds,-8.103,156.8419,Imagination Island
521,Tagusao,PH,86.07,scattered clouds,9.1924,117.8141,Green Villa beach resort
524,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
531,Noumea,NC,82.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
534,Sotouboua,TG,72.39,few clouds,8.5667,0.9833,Auberge Médina
536,Sal Rei,CV,71.78,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
542,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
544,Lakes Entrance,AU,74.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
546,Coxim,BR,74.64,overcast clouds,-18.5067,-54.76,Hotel Avenida
547,Laguna,US,79.39,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
548,Tura,IN,81.18,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
549,Manga,BF,83.37,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
556,Bundaberg,AU,76.48,few clouds,-24.85,152.35,Takalvan Motel
557,Belmonte,BR,74.46,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
559,Sahuaripa,MX,78.71,broken clouds,29.05,-109.2333,Estatua de Sahuaripa
563,Niamey,NE,89.89,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
565,Dicabisagan,PH,87.03,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
567,Camargo,MX,80.94,few clouds,27.6667,-105.1667,Hotel Santa Fe
569,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
574,Kargasok,RU,74.82,overcast clouds,59.0556,80.8572,Hotel Kargasok
579,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
580,Podor,MR,86.65,clear sky,16.6527,-14.9587,Auberge Du Tékrour
589,Kutum,SD,78.22,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
590,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
591,Sola,VU,79.83,broken clouds,-13.8833,167.55,Leumerus Bungalows
595,Negara,ID,86.76,few clouds,-8.3151,114.6025,Villa Maya West Bali
596,Zhongxing,CN,72.05,overcast clouds,33.7039,118.6792,New Century Grand Hotel Siyang
597,Finschhafen,PG,85.06,overcast clouds,-6.6024,147.8681,Cossam Guest House
598,Jacksonville,US,75.2,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
600,Maine-Soroa,NE,78.37,scattered clouds,13.2114,12.0241,Complexe
608,Sukabumi,ID,83.5,overcast clouds,-6.9181,106.9267,The Bountie Hotels and Convention Center Sukabumi
612,Abu Dhabi,AE,78.82,clear sky,24.4667,54.3667,Beach Rotana
613,Estelle,US,82.4,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
620,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
622,Tinskoy,RU,79.39,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
623,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
625,Ilorin,NG,77.36,clear sky,8.5,4.55,SITY INN
627,Bolivar,US,70.56,overcast clouds,37.6145,-93.4105,Comfort Inn Bolivar
631,Salem,IN,79.0,haze,11.65,78.1667,YMCA PROGRAM CENTRE
636,Bubaque,GW,78.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
637,Praxedis Guerrero,MX,72.54,clear sky,31.3667,-106.0167,Congregación placitas de Otero
639,Meadow Lake,US,73.06,clear sky,34.8014,-106.5436,TumbleWeed RV Park
640,Gold Coast,AU,79.9,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
648,Jeremie,HT,78.39,overcast clouds,18.65,-74.1167,Auberge’Inn
649,Behbahan,IR,85.82,clear sky,30.5959,50.2417,فروشگاه ابوعلی
651,Pakxan,LA,87.75,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
653,Coruripe,BR,75.9,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
658,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
662,Parnamirim,BR,76.89,scattered clouds,-5.9156,-35.2628,Pousada Joaci
668,Domoni,KM,80.53,clear sky,-12.2569,44.5319,Al Djadid
673,Acarau,BR,77.83,broken clouds,-2.8856,-40.12,castelo pizzaria
675,Mabaruma,GY,73.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
676,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
678,Kanigoro,ID,87.35,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
689,Seoul,KR,70.99,few clouds,37.5683,126.9778,롯데호텔 서울
693,Zyryanovsk,KZ,71.64,light rain,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
696,Myitkyina,MM,75.94,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
698,Nova Olinda Do Norte,BR,73.99,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
702,Magadi,IN,84.76,overcast clouds,12.9667,77.2333,Gobi centre
703,Samana,DO,75.74,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
711,Lethem,GY,77.04,broken clouds,3.3803,-59.7968,Savannah Inn
712,Miandrivazo,MG,76.01,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
715,Oroville,US,80.22,clear sky,39.5138,-121.5564,"Holiday Inn Express & Suites Oroville Lake, an IHG Hotel"
719,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
720,Bilma,NE,76.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
723,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
724,Palmas Bellas,PA,81.0,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
726,Kawalu,ID,89.13,broken clouds,-7.3817,108.2082,West Jontor
