City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Sur,OM,86.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
266,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
267,Sulangan,PH,82.94,overcast clouds,11.1373,123.7228,Maia's Beach Resort
269,Sorong,ID,82.62,broken clouds,-0.8833,131.25,Waigo Splash Hotel
273,Bougouni,ML,81.7,few clouds,11.417,-7.479,Non Stop
274,Iquitos,PE,75.24,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
280,Kieta,PG,83.3,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
282,Korla,CN,77.09,few clouds,41.7597,86.1469,Gulisitan Hotel
286,Humaita,BR,73.94,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
289,Hami,CN,78.46,scattered clouds,42.8,93.45,Laoyutang Resort
290,Isangel,VU,77.18,broken clouds,-19.55,169.2667,Tanna Lodge
291,Victoria Point,AU,81.18,few clouds,-27.5833,153.3,Bay Retreat Motel
292,Santo Domingo,DO,79.03,overcast clouds,18.5001,-69.9886,Cabañas City Heart
293,Nabire,ID,85.73,broken clouds,-3.3667,135.4833,Hotel Nusantara I
294,Pakxe,LA,87.94,scattered clouds,15.1167,105.7833,Champasak Palace Hotel
295,Puerto Suarez,BO,70.32,broken clouds,-18.95,-57.8,Hotel casa real
296,Ankpa,NG,71.19,broken clouds,7.3706,7.6253,AA Suites
298,San Patricio,US,81.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
301,Namibe,AO,70.3,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
303,Carnarvon,AU,73.08,clear sky,-24.8667,113.6333,Hospitality Carnarvon
309,Karratha,AU,83.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
312,Ternate,ID,81.77,light rain,0.8,127.4,Sahid Bela Ternate Hotel
316,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
320,Riohacha,CO,80.35,overcast clouds,11.5444,-72.9072,Hotel Taroa
323,Nhulunbuy,AU,86.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
324,Arlit,NE,80.44,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
328,Bonthe,SL,75.88,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
331,Jalingo,NG,79.45,overcast clouds,8.8833,11.3667,Debright Motel
332,Lorengau,PG,85.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
333,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
334,Sao Gabriel Da Cachoeira,BR,73.33,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
335,Maceio,BR,74.64,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
337,Mancio Lima,BR,71.71,few clouds,-7.6142,-72.8958,Motel Asas Do Desejo
338,Tirat Karmel,IL,71.15,light rain,32.7617,34.9719,Marom Hotel Haifa מלון מרום
339,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
341,Gamboma,CG,72.28,overcast clouds,-1.8764,15.8644,Residence N'Keni
343,Curup,ID,84.51,few clouds,-3.4667,102.5333,Ayi The Costel
344,Bontang,ID,85.03,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
346,Faanui,PF,81.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
348,Soyo,AO,76.66,broken clouds,-6.1349,12.3689,Hotel Mpampa
349,Toma,BF,81.73,scattered clouds,12.7667,-2.8833,Auberge de l'amitié
352,Quevedo,EC,73.53,overcast clouds,-1.0333,-79.45,Hotel Tuistico Ejecutivo
354,Puerto Leguizamo,CO,72.01,overcast clouds,-0.1934,-74.7819,la casona de juancho
355,Uribia,CO,81.68,overcast clouds,11.7139,-72.266,Hotel Uribia
365,Trat,TH,89.8,broken clouds,12.5,102.5,สวนหนิง-อัศ
370,Hervey Bay,AU,75.6,clear sky,-25.2986,152.8535,Shelly Bay Resort
371,Bambanglipuro,ID,85.75,overcast clouds,-7.95,110.2833,Puri Brata
378,Simao,CN,79.43,scattered clouds,22.7886,100.9748,Changyu Hotel
379,Omboue,GA,76.98,overcast clouds,-1.5746,9.2618,Hotel Olako
