City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Saint-Pierre,RE,-21.3393,55.4781,75.9,60,20,6.91,few clouds
144,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,98,1.01,overcast clouds
145,Coihaique,CL,-45.5752,-72.0662,30.81,93,0,1.14,clear sky
146,Jimeta,NG,9.2833,12.4667,81.93,54,93,2.35,overcast clouds
147,Port Elizabeth,ZA,-33.918,25.5701,46.69,93,0,4.61,clear sky
148,Wanning,CN,18.8003,110.3967,88.77,68,74,10.94,broken clouds
149,Sibu,MY,2.3,111.8167,89.91,62,40,2.3,scattered clouds
150,Kodiak,US,57.79,-152.4072,49.51,40,0,13.8,clear sky
151,Buraydah,SA,26.326,43.975,75.65,11,0,11.92,clear sky
152,Alanya,TR,36.5438,31.9998,60.93,59,32,1.52,scattered clouds
153,Klaksvik,FO,62.2266,-6.589,47.32,90,82,6.93,broken clouds
154,Fortuna,US,40.5982,-124.1573,57.65,94,100,0.0,overcast clouds
155,Mar Del Plata,AR,-38.0023,-57.5575,45.95,81,0,6.91,clear sky
156,Bandiagara,ML,14.3501,-3.6104,82.0,9,98,11.34,overcast clouds
157,Hobart,AU,-42.8794,147.3294,67.86,53,40,8.05,scattered clouds
158,Manoel Urbano,BR,-8.8389,-69.2597,73.29,95,76,0.45,broken clouds
159,Eureka,US,40.8021,-124.1637,59.67,84,95,3.83,overcast clouds
160,Norman Wells,CA,65.282,-126.8329,35.64,75,75,18.41,broken clouds
161,Kisangani,CD,0.5167,25.2,70.07,99,96,0.81,overcast clouds
162,Bredasdorp,ZA,-34.5322,20.0403,50.65,87,0,3.13,clear sky
163,Sakakah,SA,29.9697,40.2064,74.77,13,0,11.79,clear sky
164,Yicheng,CN,31.3705,119.8703,68.16,42,100,5.23,overcast clouds
165,Poum,NC,-20.2333,164.0167,77.65,72,89,10.69,overcast clouds
166,Maumere,ID,-8.6199,122.2111,84.63,66,71,1.81,broken clouds
167,Cayenne,GF,4.9333,-52.3333,82.09,1,75,4.0,broken clouds
168,Perth,AU,-31.9333,115.8333,67.01,61,75,4.61,light rain
169,Zarubino,RU,42.63,131.0922,54.63,50,24,21.47,few clouds
170,Manta,EC,-0.95,-80.7333,76.78,83,100,9.22,overcast clouds
171,Kurchatov,RU,51.6601,35.6521,50.41,89,70,11.39,broken clouds
172,Santa Cruz,BO,-17.8,-63.1667,69.26,83,75,12.66,broken clouds
173,Shimoda,JP,34.6667,138.95,70.16,73,94,13.27,overcast clouds
174,Constitucion,CL,-35.3333,-72.4167,50.94,57,0,4.97,clear sky
175,Olafsvik,IS,64.8945,-23.7142,43.34,93,100,17.16,overcast clouds
176,Te Anau,NZ,-45.4167,167.7167,52.68,82,10,1.88,clear sky
177,Wawa,NG,9.9022,4.4192,79.43,74,70,6.13,broken clouds
178,Shu,KZ,43.5983,73.7614,67.19,59,100,5.64,overcast clouds
179,Changji,CN,44.0167,87.3167,83.19,8,0,15.66,clear sky
180,Vaitape,PF,-16.5167,-151.75,81.48,65,18,6.06,few clouds
181,Evensk,RU,61.95,159.2333,38.7,93,89,15.3,overcast clouds
182,Palu,ID,-0.8917,119.8707,87.31,75,96,3.36,overcast clouds
183,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.3,98,95,1.25,overcast clouds
